Date;Open;High;Low;Close;Average
2-2-2009;8.000.620.117;8.312.370.117;7.845.310.059;8.280.589.844;8.140.604.981
9-2-2009;8.281.379.883;8.315.070.313;7.693.979.980;7.850.410.156;8.065.895.020
16-2-2009;7.845.629.883;7.845.629.883;7.249.470.215;7.365.669.922;7.605.649.903
23-2-2009;7.365.990.234;7.441.020.020;7.033.620.117;7.062.930.176;7.214.460.205
2-3-2009;7.056.479.980;7.058.950.195;6.469.950.195;6.626.939.941;6.841.709.961
9-3-2009;6.625.740.234;7.242.620.117;6.516.859.863;7.223.979.980;6.924.860.107
16-3-2009;7.225.330.078;7.571.640.137;7.172.049.805;7.278.379.883;7.251.854.981
23-3-2009;7.279.250.000;7.931.330.078;7.278.779.785;7.776.180.176;7.527.715.088
30-3-2009;7.773.310.059;8.075.729.980;7.437.589.844;8.017.589.844;7.895.449.952
6-4-2009;8.016.160.156;8.087.279.785;7.750.850.098;8.083.379.883;8.049.770.020
13-4-2009;8.082.020.020;8.190.660.156;7.870.479.980;8.131.330.078;8.106.675.049
20-4-2009;8.128.939.941;8.128.939.941;7.791.950.195;8.076.290.039;8.102.614.990
27-4-2009;8.073.819.824;8.307.509.766;7.938.979.980;8.212.410.156;8.143.114.990
4-5-2009;8.213.599.609;8.587.549.805;8.213.599.609;8.574.650.391;8.394.125.000
11-5-2009;8.569.230.469;8.569.230.469;8.230.169.922;8.268.639.648;8.418.935.059
18-5-2009;8.270.150.391;8.591.929.688;8.221.009.766;8.277.320.313;8.273.735.352
25-5-2009;8.277.320.313;8.522.950.195;8.226.900.391;8.500.330.078;8.388.825.196
1-6-2009;8.501.530.273;8.839.400.391;8.501.290.039;8.763.129.883;8.632.330.078
8-6-2009;8.759.349.609;8.877.929.688;8.633.070.313;8.799.259.766;8.779.304.688
15-6-2009;8.798.500.000;8.798.500.000;8.461.290.039;8.539.730.469;8.669.115.235
22-6-2009;8.538.519.531;8.538.830.078;8.259.429.688;8.438.389.648;8.488.454.590
29-6-2009;8.440.129.883;8.580.469.727;8.280.740.234;8.280.740.234;8.360.435.059
6-7-2009;8.280.740.234;8.327.969.727;8.087.189.941;8.146.520.020;8.213.630.127
13-7-2009;8.146.520.020;8.754.290.039;8.130.419.922;8.743.940.430;8.445.230.225
20-7-2009;8.746.049.805;9.100.879.883;8.745.900.391;9.093.240.234;8.919.645.020
27-7-2009;9.093.089.844;9.246.429.688;9.007.469.727;9.171.610.352;9.132.350.098
3-8-2009;9.173.650.391;9.437.709.961;9.173.650.391;9.370.070.313;9.271.860.352
10-8-2009;9.368.410.156;9.424.110.352;9.216.879.883;9.321.400.391;9.344.905.274
17-8-2009;9.313.849.609;9.519.110.352;9.116.519.531;9.505.959.961;9.409.904.785
24-8-2009;9.506.179.688;9.630.200.195;9.459.400.391;9.544.200.195;9.525.189.942
31-8-2009;9.542.910.156;9.557.950.195;9.252.929.688;9.441.269.531;9.492.089.844
7-9-2009;9.440.129.883;9.649.849.609;9.439.980.469;9.605.410.156;9.522.770.020
14-9-2009;9.598.080.078;9.854.580.078;9.535.959.961;9.820.200.195;9.709.140.137
21-9-2009;9.818.610.352;9.917.990.234;9.641.009.766;9.665.190.430;9.741.900.391
28-9-2009;9.663.230.469;9.834.480.469;9.430.080.078;9.487.669.922;9.575.450.196
5-10-2009;9.488.730.469;9.865.009.766;9.481.089.844;9.864.940.430;9.676.835.450
12-10-2009;9.865.240.234;10.062.940.430;9.815.059.570;9.995.910.156;9.930.575.195
19-10-2009;9.996.669.922;10.119.469.727;9.916.780.273;9.972.179.688;9.984.424.805
26-10-2009;9.972.330.078;10.072.320.313;9.684.540.039;9.712.730.469;9.842.530.274
2-11-2009;9.712.129.883;10.044.500.000;9.678.950.195;10.023.419.922;9.867.774.903
9-11-2009;10.020.620.117;10.341.969.727;10.020.620.117;10.270.469.727;10.145.544.922
16-11-2009;10.267.530.273;10.438.169.922;10.256.110.352;10.318.160.156;10.292.845.215
23-11-2009;10.320.129.883;10.495.610.352;10.231.250.000;10.309.919.922;10.315.024.903
30-11-2009;10.309.769.531;10.516.700.195;10.263.290.039;10.388.900.391;10.349.334.961
7-12-2009;10.386.860.352;10.484.049.805;10.235.629.883;10.471.500.000;10.429.180.176
14-12-2009;10.471.280.273;10.514.660.156;10.263.900.391;10.328.889.648;10.400.084.961
21-12-2009;10.330.099.609;10.522.059.570;10.329.799.805;10.520.089.844;10.425.094.727
28-12-2009;10.517.910.156;10.580.330.078;10.423.129.883;10.428.049.805;10.472.979.981
4-1-2010;10.430.690.430;10.619.400.391;10.430.690.430;10.618.190.430;10.524.440.430
11-1-2010;10.620.309.570;10.723.769.531;10.561.059.570;10.609.650.391;10.614.979.981
18-1-2010;10.608.370.117;10.729.889.648;10.157.639.648;10.172.980.469;10.390.675.293
25-1-2010;10.175.099.609;10.285.129.883;10.043.750.000;10.067.330.078;10.121.214.844
1-2-2010;10.068.990.234;10.314.839.844;9.835.089.844;10.012.230.469;10.040.610.352
8-2-2010;10.005.429.688;10.161.570.313;9.904.089.844;10.099.139.648;10.052.284.668
15-2-2010;10.100.809.570;10.438.549.805;10.100.809.570;10.402.349.609;10.251.579.590
22-2-2010;10.402.429.688;10.433.639.648;10.185.830.078;10.325.259.766;10.363.844.727
1-3-2010;10.326.099.609;10.571.940.430;10.326.099.609;10.566.200.195;10.446.149.902
8-3-2010;10.563.780.273;10.644.950.195;10.507.169.922;10.624.690.430;10.594.235.352
15-3-2010;10.623.410.156;10.819.900.391;10.570.509.766;10.741.980.469;10.682.695.313
22-3-2010;10.741.000.000;10.955.480.469;10.695.129.883;10.850.360.352;10.795.680.176
29-3-2010;10.849.230.469;10.956.389.648;10.832.830.078;10.927.070.313;10.888.150.391
5-4-2010;10.927.450.195;11.000.980.469;10.844.089.844;10.997.349.609;10.962.399.902
12-4-2010;10.996.750.000;11.154.549.805;10.947.769.531;11.018.660.156;11.007.705.078
19-4-2010;11.018.360.352;11.205.639.648;10.977.849.609;11.204.280.273;11.111.320.313
26-4-2010;11.205.110.352;11.258.009.766;10.965.379.883;11.008.610.352;11.106.860.352
3-5-2010;11.009.599.609;11.177.669.922;9.869.620.117;10.380.429.688;10.695.014.649
10-5-2010;10.386.179.688;10.920.269.531;10.386.030.273;10.620.160.156;10.503.169.922
17-5-2010;10.616.980.469;10.718.860.352;9.918.820.313;10.193.389.648;10.405.185.059
24-5-2010;10.193.459.961;10.264.200.195;9.774.480.469;10.136.629.883;10.165.044.922
31-5-2010;10.133.940.430;10.315.209.961;9.889.879.883;9.931.969.727;10.032.955.079
7-6-2010;9.931.750.000;10.215.980.469;9.757.549.805;10.211.070.313;10.071.410.157
14-6-2010;10.211.830.078;10.483.440.430;10.186.209.961;10.450.639.648;10.331.234.863
21-6-2010;10.452.459.961;10.594.160.156;10.081.080.078;10.143.809.570;10.298.134.766
28-6-2010;10.143.049.805;10.201.929.688;9.614.320.313;9.686.480.469;9.914.765.137
5-7-2010;9.686.480.469;10.201.769.531;9.659.009.766;10.198.030.273;9.942.255.371
12-7-2010;10.199.240.234;10.407.820.313;10.079.580.078;10.097.900.391;10.148.570.313
19-7-2010;10.098.120.117;10.441.950.195;10.007.759.766;10.424.620.117;10.261.370.117
26-7-2010;10.424.169.922;10.584.990.234;10.347.500.000;10.465.940.430;10.445.055.176
2-8-2010;10.468.820.313;10.702.990.234;10.468.589.844;10.653.559.570;10.561.189.942
9-8-2010;10.654.620.117;10.719.940.430;10.268.709.961;10.303.150.391;10.478.885.254
16-8-2010;10.303.070.313;10.480.440.430;10.147.240.234;10.213.620.117;10.258.345.215
23-8-2010;10.215.509.766;10.304.700.195;9.936.620.117;10.150.650.391;10.183.080.079
30-8-2010;10.145.580.078;10.451.150.391;9.941.839.844;10.447.929.688;10.296.754.883
6-9-2010;10.446.799.805;10.476.620.117;10.332.400.391;10.462.769.531;10.454.784.668
13-9-2010;10.458.599.609;10.650.160.156;10.458.599.609;10.607.849.609;10.533.224.609
20-9-2010;10.608.080.078;10.865.780.273;10.608.080.078;10.860.259.766;10.734.169.922
27-9-2010;10.860.030.273;10.948.879.883;10.728.639.648;10.829.679.688;10.844.854.981
4-10-2010;10.828.849.609;11.032.169.922;10.711.120.117;11.006.480.469;10.917.665.039
11-10-2010;11.006.929.688;11.155.230.469;10.913.839.844;11.062.780.273;11.034.854.981
18-10-2010;11.062.629.883;11.213.540.039;10.917.620.117;11.132.559.570;11.097.594.727
25-10-2010;11.133.400.391;11.247.599.609;11.020.820.313;11.118.490.234;11.125.945.313
1-11-2010;11.120.299.805;11.451.530.273;11.062.330.078;11.444.080.078;11.282.189.942
8-11-2010;11.439.540.039;11.439.610.352;11.143.839.844;11.192.580.078;11.316.060.059
15-11-2010;11.194.019.531;11.280.900.391;10.978.929.688;11.203.549.805;11.198.784.668
22-11-2010;11.201.660.156;11.206.049.805;10.992.169.922;11.091.870.117;11.146.765.137
29-11-2010;11.083.750.000;11.388.870.117;10.929.280.273;11.382.089.844;11.232.919.922
6-12-2010;11.381.330.078;11.450.889.648;11.327.490.234;11.410.320.313;11.395.825.196
13-12-2010;11.406.160.156;11.519.040.039;11.405.330.078;11.491.910.156;11.449.035.156
20-12-2010;11.491.299.805;11.580.839.844;11.442.679.688;11.573.490.234;11.532.395.020
27-12-2010;11.572.809.570;11.625.000.000;11.518.440.430;11.577.509.766;11.575.159.668
3-1-2011;11.577.429.688;11.742.679.688;11.577.349.609;11.674.759.766;11.626.094.727
10-1-2011;11.672.339.844;11.794.150.391;11.573.870.117;11.787.379.883;11.729.859.864
17-1-2011;11.783.820.313;11.905.480.469;11.744.769.531;11.871.839.844;11.827.830.079
24-1-2011;11.873.429.688;12.020.519.531;11.803.040.039;11.823.700.195;11.848.564.942
31-1-2011;11.824.389.648;12.092.419.922;11.817.879.883;12.092.150.391;11.958.270.020
7-2-2011;12.092.379.883;12.285.940.430;12.092.299.805;12.273.259.766;12.182.819.825
14-2-2011;12.266.830.078;12.391.290.039;12.193.269.531;12.391.250.000;12.329.040.039
21-2-2011;12.389.740.234;12.389.820.313;11.983.169.922;12.130.450.195;12.260.095.215
28-2-2011;12.130.450.195;12.283.099.609;12.018.629.883;12.169.879.883;12.150.165.039
7-3-2011;12.171.089.844;12.257.820.313;11.936.320.313;12.044.400.391;12.107.745.118
14-3-2011;12.042.129.883;12.042.129.883;11.555.480.469;11.858.519.531;11.950.324.707
21-3-2011;11.860.110.352;12.259.790.039;11.860.110.352;12.220.589.844;12.040.350.098
28-3-2011;12.221.190.430;12.419.709.961;12.173.509.766;12.376.719.727;12.298.955.079
4-4-2011;12.374.599.609;12.450.929.688;12.320.719.727;12.380.049.805;12.377.324.707
11-4-2011;12.380.429.688;12.444.000.000;12.163.860.352;12.341.830.078;12.361.129.883
18-4-2011;12.339.709.961;12.506.059.570;12.093.889.648;12.505.990.234;12.422.850.098
25-4-2011;12.505.990.234;12.832.830.078;12.446.049.805;12.810.540.039;12.658.265.137
2-5-2011;12.810.160.156;12.876.000.000;12.521.280.273;12.638.740.234;12.724.450.195
9-5-2011;12.637.830.078;12.781.059.570;12.537.169.922;12.595.750.000;12.616.790.039
16-5-2011;12.594.769.531;12.642.900.391;12.378.839.844;12.512.040.039;12.553.404.785
23-5-2011;12.511.360.352;12.511.360.352;12.309.519.531;12.441.580.078;12.476.470.215
30-5-2011;12.443.400.391;12.574.290.039;12.104.030.273;12.151.259.766;12.297.330.079
6-6-2011;12.151.190.430;12.183.120.117;11.937.419.922;11.951.910.156;12.051.550.293
13-6-2011;11.945.330.078;12.120.799.805;11.862.530.273;12.004.360.352;11.974.845.215
20-6-2011;12.004.280.273;12.217.330.078;11.874.940.430;11.934.580.078;11.969.430.176
27-6-2011;11.934.660.156;12.596.129.883;11.934.049.805;12.582.769.531;12.258.714.844
4-7-2011;12.569.870.117;12.753.889.648;12.539.209.961;12.657.200.195;12.613.535.156
11-7-2011;12.655.620.117;12.655.839.844;12.406.089.844;12.479.730.469;12.567.675.293
18-7-2011;12.475.110.352;12.751.429.688;12.296.230.469;12.681.160.156;12.578.135.254
25-7-2011;12.679.719.727;12.679.950.195;12.083.450.195;12.143.240.234;12.411.479.981
1-8-2011;12.144.219.727;12.282.419.922;11.139.000.000;11.444.610.352;11.794.415.040
8-8-2011;11.433.929.688;11.434.089.844;10.604.070.313;11.269.019.531;11.351.474.610
15-8-2011;11.269.849.609;11.529.669.922;10.801.410.156;10.817.650.391;11.043.750.000
22-8-2011;10.820.370.117;11.406.389.648;10.820.370.117;11.284.540.039;11.052.455.078
29-8-2011;11.286.650.391;11.716.839.844;11.211.349.609;11.240.259.766;11.263.455.079
5-9-2011;11.237.309.570;11.477.299.805;10.932.530.273;10.992.129.883;11.114.719.727
12-9-2011;10.990.009.766;11.532.469.727;10.824.759.766;11.509.089.844;11.249.549.805
19-9-2011;11.506.820.313;11.550.219.727;10.597.139.648;10.771.480.469;11.139.150.391
26-9-2011;10.771.780.273;11.369.299.805;10.771.780.273;10.913.379.883;10.842.580.078
3-10-2011;10.912.099.609;11.232.049.805;10.404.490.234;11.103.120.117;11.007.609.863
10-10-2011;11.104.559.570;11.646.830.078;11.104.559.570;11.644.490.234;11.374.524.902
17-10-2011;11.643.349.609;11.812.459.961;11.296.120.117;11.808.790.039;11.726.069.824
24-10-2011;11.807.959.961;12.284.309.570;11.682.519.531;12.231.110.352;12.019.535.157
31-10-2011;12.229.219.727;12.229.290.039;11.630.030.273;11.983.240.234;12.106.229.981
7-11-2011;11.983.019.531;12.187.509.766;11.736.929.688;12.153.679.688;12.068.349.610
14-11-2011;12.153.000.000;12.170.559.570;11.676.349.609;11.796.160.156;11.974.580.078
21-11-2011;11.795.549.805;11.795.700.195;11.231.429.688;11.231.650.391;11.513.600.098
28-11-2011;11.232.469.727;12.146.679.688;11.232.160.156;12.019.419.922;11.625.944.825
5-12-2011;12.021.540.039;12.257.669.922;11.966.219.727;12.184.259.766;12.102.899.903
12-12-2011;12.181.080.078;12.181.379.883;11.786.469.727;11.866.389.648;12.023.734.863
19-12-2011;11.866.540.039;12.297.440.430;11.735.190.430;12.294.000.000;12.080.270.020
26-12-2011;12.293.469.727;12.328.469.727;12.140.169.922;12.217.559.570;12.255.514.649
2-1-2012;12.221.190.430;12.479.650.391;12.221.190.430;12.359.919.922;12.290.555.176
9-1-2012;12.359.309.570;12.514.690.430;12.311.790.039;12.422.059.570;12.390.684.570
16-1-2012;12.423.120.117;12.720.480.469;12.423.120.117;12.720.480.469;12.571.800.293
23-1-2012;12.720.250.000;12.841.950.195;12.580.120.117;12.660.459.961;12.690.354.981
30-1-2012;12.659.169.922;12.869.950.195;12.529.410.156;12.862.230.469;12.760.700.196
